Emp ID,Name,Gender,Department,Salary,Salary Bucket,Start Date,Employee type,Work location,Work Type
Pr00007,Torrance,Female,Training,96136.0,50K To 100K,2020-07-13,Permanent,Wellington,Part Time
Pr00095,Devrat,Female,Business,70649.0,50K To 100K,2020-01-13,Permanent,Hyderabad,Full Time
Pr00113,Van,Female,Business,80696.0,50K To 100K,2018-09-17,Permanent,Columbus,Full Time
Pr00113,Van,Female,Business,85000.0,50K To 100K,2018-09-17,Permanent,Columbus,Full Time
Pr00147,Minerva,Male,Engineering,120000.0,Above 100K,2018-11-12,Permanent,Remote,Full Time
Pr00246,Husein,Female,Marketing,67906.0,50K To 100K,2020-12-29,Permanent,Remote,Full Time
Pr00419,Billi,Female,Business,68981.0,50K To 100K,2019-01-29,Permanent,Remote,Part Time
Pr00576,Lalitchandra,Female,Legal,63705.0,50K To 100K,2019-08-05,Permanent,Hyderabad,Full Time
Pr00746,Hogan,Female,Accounting,114177.0,Above 100K,2020-03-18,Permanent,Wellington,Full Time
Pr00770,Beryl,Male,Legal,29775.0,Under 50K,2020-10-01,Permanent,Wellington,Full Time
Pr00882,Jill,Male,Accounting,52964.0,50K To 100K,2021-04-02,Permanent,Columbus,Part Time
Pr00893,Vasavi,Male,Human,50310.0,50K To 100K,2021-03-30,Permanent,Hyderabad,Part Time
Pr00916,Inger,Female,Research,84310.0,50K To 100K,2021-11-01,Permanent,Remote,Full Time
Pr01055,Devasree,Male,Accounting,35936.0,Under 50K,2018-05-21,Permanent,Chennai,Full Time
Pr01159,Mollie,Male,Engineering,112646.0,Above 100K,2019-10-21,Permanent,Seattle,Part Time
Pr01211,Enoch,Male,Accounting,91645.0,50K To 100K,2021-01-27,Permanent,Auckland,Full Time
Pr01269,Eleonore,Female,Engineering,97105.0,50K To 100K,2021-08-17,Permanent,Columbus,Full Time
Pr01306,Patti,Male,Services,84743.0,50K To 100K,2020-09-24,Permanent,Auckland,Full Time
Pr01346,Adolph,Male,Business,85919.0,50K To 100K,2018-02-05,Permanent,Columbus,Full Time
Pr01383,Addi,Female,Product,72503.0,50K To 100K,2021-02-08,Permanent,Wellington,Full Time
Pr01476,Jaishree,Male,Services,77096.0,50K To 100K,2018-04-27,Permanent,Chennai,Full Time
Pr01662,Genevra,Female,Research,50449.0,50K To 100K,2018-11-14,Permanent,Auckland,Part Time
Pr01943,Rameshwari,Male,Human,48526.0,Under 50K,2018-06-13,Permanent,Hyderabad,Full Time
Pr01956,Jamesy,Male,Accounting,36548.0,Under 50K,2018-11-12,Permanent,Remote,Full Time
Pr02010,Prerana,Male,Product,115191.0,Above 100K,2020-06-22,Permanent,Hyderabad,Full Time
Pr02016,Iris,Female,Engineering,58861.0,50K To 100K,2019-07-08,Permanent,Columbus,Full Time
Pr02113,Beverie,Female,Support,75975.0,50K To 100K,2020-12-07,Permanent,Remote,Full Time
Pr02140,Anjushri,Male,Accounting,95954.0,50K To 100K,2019-04-12,Permanent,Hyderabad,Part Time
Pr02208,Gowri,Female,Training,102934.0,Above 100K,2021-04-29,Permanent,Hyderabad,Full Time
Pr02275,Louise,Female,Sales,41935.0,Under 50K,2019-11-11,Permanent,Remote,Full Time
Pr02288,Althea,Male,Product,104335.0,Above 100K,2020-02-13,Permanent,Columbus,Full Time
Pr02321,Evanne,Female,Services,81898.0,50K To 100K,2018-02-15,Permanent,Auckland,Full Time
Pr02436,Marmaduke,Female,Engineering,78378.0,50K To 100K,2018-12-31,Permanent,Remote,Part Time
Pr02603,Dinanath,Female,Human,61995.0,50K To 100K,2019-11-25,Permanent,Hyderabad,Part Time
Pr02782,Isaak,Male,Marketing,37362.0,Under 50K,2019-06-26,Permanent,Auckland,Full Time
Pr02957,Vaughn,Female,Training,84746.0,50K To 100K,2019-08-30,Permanent,Wellington,Full Time
Pr03034,Sreenivasa,Male,Sales,32192.0,Under 50K,2021-10-04,Permanent,Hyderabad,Full Time
Pr03137,Jagajeet,Male,Support,36714.0,Under 50K,2020-12-10,Permanent,Chennai,Full Time
Pr03158,Danica,Female,Services,89690.0,50K To 100K,2018-04-16,Permanent,Wellington,Full Time
Pr03271,Stan,Female,Sales,39535.0,Under 50K,2018-10-24,Permanent,Remote,Part Time
Pr03445,Myrle,Male,Sales,62195.0,50K To 100K,2021-08-26,Permanent,Remote,Full Time
Pr03532,Crawford,Male,Human,72877.0,50K To 100K,2020-01-07,Permanent,Remote,Full Time
Pr03804,Pratigya,Male,Legal,66573.0,50K To 100K,2020-12-28,Permanent,Chennai,Full Time
