phone id,category,phone name,priceegory
673-986-4947x2739,B,Donald Yates,41.02
001-286-992-2023x476,C,Justin Williams,22.82
721.295.5252x214,B,Nancy Murray,6.38
(757)863-7131,B,Jesse Wilson,21.69
252-538-2543,A,Stephanie Richardson,57.21
001-561-516-2680x218,D,Zachary Deleon,69.43
971.515.8995x46066,C,Sergio Cole,55.94
001-712-609-1342x953,C,Sherry Novak,97.81
(630)496-3463,C,Mark Jones,97.73
490-865-0378x50157,D,Casey Diaz,3.49
(973)201-2562x378,D,Randall Lane,95.03
+1-470-631-0556,D,Cody Garcia,67.82
4657236102,C,Jennifer Booth,45.99
001-235-752-3375x5447,A,Connie Roberts,32.1
001-659-933-0133x62269,C,Spencer Lambert,34.73
001-304-611-4620x3243,D,Katrina Blankenship,86.23
290.903.4662,A,Kelly Norris,35.66
001-682-625-9695x752,B,Jackson Brown,9.17
001-862-873-2097x878,D,Wanda Williams MD,92.37
593.836.2200,C,Dalton Mendez,27.3
001-426-903-2458x510,B,Jennifer Hoover,18.33
598.227.9452x009,B,Brian Martin,22.83
(361)745-1549x57778,D,Matthew Vargas,66.96
524.867.3931,B,Daniel Wilson,97.33
730.352.4507x774,B,Joanna Benton,58.4
001-406-442-3127x50441,C,Michelle Blankenship,16.22
955-541-7343x887,C,Sue Rogers,84.13
504-599-0588x60049,D,Jared Thompson,21.63
(815)607-9815x39264,A,Kristen Walters,81.86
2002931391,C,Stephen Ingram,81.79
484-792-0606x29279,A,Michael Webb,15.86
936.715.4758,C,Christopher Riley,7.09
529-218-6487x2581,C,Dr. Courtney Hamilton,3.49
5784787364,A,Mary Garrett,63.06
(924)319-8519x4118,C,Margaret Harris,1.51
+1-865-350-6814x8846,C,Rebecca Nguyen,80.28
780-599-5372,C,Crystal Chapman,46.85
(929)500-9102,A,Richard Garrison,56.19
914-290-9432x24832,B,Natalie Woodard,51.07
201-794-1981,A,Peter Diaz,11.53
218.997.7945x97953,A,Patrick Crane,72.13
001-370-580-3156x2455,D,Charles Kidd,88.74
3015039669,C,Angela Sanchez,87.76
(847)397-5758x80947,A,Jacqueline Jones,60.04
6912251216,B,Wendy Walters,17.29
001-711-809-9304x72108,C,Victor Richards,11.61
(284)577-6424x4796,B,Douglas Schneider,93.67
+1-245-550-2241,A,Samantha Lewis,11.38
+1-815-714-0285x66606,A,Carolyn Blackburn,69.2
532.281.5284x192,A,Jessica Oconnell,76.73
