phone_id,category,phone_name,priceegory
673-986-4947X2739,B,Donald Yates,41.02
001-286-992-2023X476,C,Justin Williams,22.82
721.295.5252X214,B,Nancy Murray,6.38
(757)863-7131,B,Jesse Wilson,21.69
252-538-2543,A,Stephanie Richardson,57.21
001-561-516-2680X218,D,Zachary Deleon,69.43
971.515.8995X46066,C,Sergio Cole,55.94
001-712-609-1342X953,C,Sherry Novak,97.81
(630)496-3463,C,Mark Jones,97.73
490-865-0378X50157,D,Casey Diaz,3.49
(973)201-2562X378,D,Randall Lane,95.03
+1-470-631-0556,D,Cody Garcia,67.82
4657236102,C,Jennifer Booth,45.99
001-235-752-3375X5447,A,Connie Roberts,32.1
001-659-933-0133X62269,C,Spencer Lambert,34.73
001-304-611-4620X3243,D,Katrina Blankenship,86.23
290.903.4662,A,Kelly Norris,35.66
001-682-625-9695X752,B,Jackson Brown,9.17
001-862-873-2097X878,D,Wanda Williams Md,92.37
593.836.2200,C,Dalton Mendez,27.3
001-426-903-2458X510,B,Jennifer Hoover,18.33
598.227.9452X009,B,Brian Martin,22.83
(361)745-1549X57778,D,Matthew Vargas,66.96
524.867.3931,B,Daniel Wilson,97.33
730.352.4507X774,B,Joanna Benton,58.4
001-406-442-3127X50441,C,Michelle Blankenship,16.22
955-541-7343X887,C,Sue Rogers,84.13
504-599-0588X60049,D,Jared Thompson,21.63
(815)607-9815X39264,A,Kristen Walters,81.86
2002931391,C,Stephen Ingram,81.79
484-792-0606X29279,A,Michael Webb,15.86
936.715.4758,C,Christopher Riley,7.09
529-218-6487X2581,C,Dr. Courtney Hamilton,3.49
5784787364,A,Mary Garrett,63.06
(924)319-8519X4118,C,Margaret Harris,1.51
+1-865-350-6814X8846,C,Rebecca Nguyen,80.28
780-599-5372,C,Crystal Chapman,46.85
(929)500-9102,A,Richard Garrison,56.19
914-290-9432X24832,B,Natalie Woodard,51.07
201-794-1981,A,Peter Diaz,11.53
218.997.7945X97953,A,Patrick Crane,72.13
001-370-580-3156X2455,D,Charles Kidd,88.74
3015039669,C,Angela Sanchez,87.76
(847)397-5758X80947,A,Jacqueline Jones,60.04
6912251216,B,Wendy Walters,17.29
001-711-809-9304X72108,C,Victor Richards,11.61
(284)577-6424X4796,B,Douglas Schneider,93.67
+1-245-550-2241,A,Samantha Lewis,11.38
+1-815-714-0285X66606,A,Carolyn Blackburn,69.2
532.281.5284X192,A,Jessica Oconnell,76.73
