teachers name,teachers salary
Trevor Barker,1
Robyn Cox Dds,2
Cody Sanders,3
Christine Haas,4
Brent Smith,5
Steven Hale,6
Mr. Matthew Faulkner,7
Ashley Lewis,8
John Jones,9
Joshua Fowler,10
April Bryant,11
Brittany Norris,12
Mike Scott,13
Jamie Stone,14
Wayne Smith,15
Aaron Marshall,16
Mark Shaw,17
Daniel Spencer,18
Jessica Marshall,19
Mary Anderson,20
Emily Monroe,21
Denise Jones,22
Kayla Hickman,23
Allen Macias,24
Mr. Johnathan Pratt,25
Jacob Tucker,26
Kayla Brooks,27
John Torres,28
Jeremy Harris,29
Rachel Lopez,30
Joseph Robles,31
Nicole Dominguez,32
Mikayla Gregory,33
Sean Johnson,34
Theodore Waters,35
Pamela Warren,36
Mark Powell,37
Allison Garcia,38
Sherry Martinez,39
Jeremy Jackson,40
Brian Yoder,41
Mr. John Farmer,42
Amanda Williams,43
Christopher Obrien,44
Julie Savage,45
Carmen Harper,46
Jo Finley,47
Amy Holmes,48
Carl Mitchell,49
Elizabeth Hill,50
Angel Adams,51
Scott Guzman,52
Debra Ramirez,53
Timothy Riley,54
Jimmy Smith,55
Leah Gordon,56
Richard White,57
Roger Contreras,58
Madison Morrison,59
Tammy Dawson,60
Kevin Fritz,61
Jacob Gray,62
Brandon Montgomery,63
Amy Harrison,64
Yolanda Richards,65
Christina Miller,66
Diana Hunt,67
Jennifer Payne,68
Christopher Rivera,69
Tracy Brown,70
Joshua Gomez,71
Jonathon Arias,72
Rachel Frazier,73
Brandon Petersen,74
Austin Spencer,75
Sherry Thomas Dvm,76
Sarah Strong,77
Jeremy Johnson,78
Paula Mckee,79
Cathy Anderson,80
Cynthia Walters,81
Susan Zamora,82
Amanda Eaton,83
Jacob Munoz,84
David Brown,85
Cynthia Everett,86
Terry Davis,87
James Hayes,88
Mathew Wells,89
Angela Pollard,90
Anthony Lopez,91
Charles Diaz,92
Jennifer Simon,93
Karen Bowers,94
Patrick Bell,95
Christine Walker,96
Michael Martin,97
John Perry,98
Alexander Crosby,99
Jim Blackburn,100
Carlos Chung,59
Christopher Edwards,59
Ashley Thompson,72
Tiffany Obrien,60
Robert Martinez,57
Richard Williams,25
Catherine Phillips,28
Walter Jones,59
Christina Miller,83
Sean Sexton,95
Michelle Brown Md,86
Kimberly Williams,62
Ronald Bailey,0
David Walker Dds,48
Marie Jackson,20
Janet Reyes,56
Lauren Gonzalez,33
Richard Howell,64
Stephanie Franco,89
Kelly Sparks,40
Mr. Joshua Thompson V,76
Rodney Mendoza,9
Sarah Lloyd,75
Adam Mendez,4
Michael Christensen,39
Shaun Gonzalez,3
Kevin Ramsey,85
Steven Burch,40
Craig Ruiz,86
Donna Rodriguez,72
Amanda Bradley,97
Cynthia Webb,93
Jason Gilbert,28
Darin Gray,56
John Jones,31
Adam Solomon,99
Mary Adams,64
Vicki Jackson,42
Travis Wilson,9
Lauren Bell,5
Benjamin Thomas,96
Andrew Blair,27
Amanda Hayes,54
Vicki Jordan,36
Colton Valdez,80
Matthew Madden,7
Andrew Walker,44
Christopher Cardenas,10
William Kline,94
Laurie George,14
Andrea Contreras,53
Sarah Wright,95
Jason Ruiz,2
Meagan Gray,68
Colin Barron,45
Kelly Shaw,53
David Murphy,66
Amy Hernandez,59
Brian Barron,87
Steven Johnson,82
Tracy Cole,49
Christopher Lynch,73
Benjamin Vazquez,66
Anthony Gibbs,87
Kyle Smith,14
Jason Higgins,63
Alexandra Howell,85
Xavier Arroyo,15
Theresa Cummings,47
Angela Price,96
Megan Olsen,62
Betty Moore,41
Randy Grant,79
Jon Lee,69
Timothy Rose,83
David Colon,2
Jesus Williams,61
Jessica Bauer,16
Thomas Russell,7
Jim Robbins,91
Raymond Hines,99
Nicholas Bright,18
Kenneth Griffin,43
Rebecca Humphrey,0
Jacob Harris,51
Heather Larsen,49
Kayla Weiss,55
David Johnson,95
Tony Page,96
Holly Zimmerman,14
Martin Cole,5
Yolanda Russo,84
Danny King,74
Megan Harris,65
Tracy Harding,1
Victor Blackburn,61
Stacey Warren,56
Mr. Jonathan Campbell Dds,73
Luke Thomas,20
Angela Cruz,0
Michelle Wilson,64
John Anthony,28
Jeffery Long,59
Courtney Mitchell,29
Joshua Brown,64
Brenda Roberts,64
Stacy Clark,66
Ricardo Riley,54
Kristin Lawson,42
Julie Parker,29
Jenna Barnes,86
Chelsea Stewart,81
Lori Patel,90
Pam Porter,89
Mrs. Amber Ramirez,73
Kevin Salinas,17
Michael Figueroa,38
Christopher Lopez,93
Gabriella Roberson,22
Tina Hunter,47
Julie Guerrero,13
Jacob Hughes,82
Billy Moore,2
Michelle Long,45
Cynthia Holmes,42
Donald Rowe,83
Matthew Snow,22
Scott Smith,60
Patricia Shelton,0
Rebecca Myers,44
Anthony Osborn,26
Patricia Parker,17
Jon Chang,62
April Mason,68
Alexandra Austin,64
Gregory Morgan,97
Sean Rice,60
Amber Miller,94
Kathy Martinez,55
Ryan Cantrell,76
Carlos Green,93
Donald Blackburn,67
Joseph Hebert,90
Jennifer West,63
Michael Lewis,53
Sean Sims Dds,37
Dr. Patrick Lopez,76
Brenda Reyes,69
Linda Aguilar,59
Rebecca Craig,24
Cole Pratt,89
Lisa Hamilton,59
Amanda Myers,75
